id,tree_type,common_name,botanical_name,height_min,height_max,width_min,width_max,flowering,sun_needs,michigan_suitable,wiegands_status,description,image_url,preferred_soil,fall_color,growth_rate,native_status,moisture_notes,info_source,info_source_url,image_source,image_source_url,photo_note,michigan_native,photo_source_priority,photo_reference_type,photo_fallback_url,size_basis,size_confidence,size_source_name,size_source_url,form,flower_color,bloom_season
30,Lilac on Standard,Common Lilac on Standard,Syringa vulgaris (standard form),8,12,6,10,Yes,Full Sun,Yes,Confirm inventory,Shrub lilac trained or grafted onto a single trunk for a small tree-like form.,,Well-drained loam; neutral to slightly alkaline,Usually insignificant,Moderate,Non-native,Moderate; avoid waterlogged soil,NC State Extension,https://plants.ces.ncsu.edu/plants/syringa-reticulata/,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Common%20Lilac%20on%20Standard%20Syringa%20vulgaris%20%28standard%20form%29,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Common%20Lilac%20on%20Standard%20Syringa%20vulgaris%20%28standard%20form%29%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,Lavender-purple,Mid to Late Spring
31,Rose of Sharon Tree,Rose of Sharon Tree Form,Hibiscus syriacus,8,12,4,8,Yes,Full Sun;Partial Shade,Yes,Confirm inventory,Tree-form Rose of Sharon with summer flowers.,,"Moist, well-drained; adaptable","Yellow, often modest",Moderate,Non-native,Moderate; drought tolerant once established,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Rose%20of%20Sharon%20Tree%20Form%20Hibiscus%20syriacus,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Rose%20of%20Sharon%20Tree%20Form%20Hibiscus%20syriacus%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,Varies by cultivar,Mid Summer to Early Fall
32,Dogwood,Kousa Dogwood,Cornus kousa,15,30,15,30,Yes,Full Sun;Partial Shade,Yes,Confirm inventory,Small flowering tree with white bracts and fall color.,https://commons.wikimedia.org/wiki/Special:FilePath/Cornus%20kousa%20tree.jpg,"Moist, well-drained, preferably acidic",Reddish-purple to burgundy-red,Slow,Non-native (Asia),Moderate; avoid poorly drained heavy soil,The Morton Arboretum,https://mortonarb.org/plant-and-protect/trees-and-plants/kousa-dogwood/,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/plants/cornus-kousa/,Species reference page with plant photography,No,University/arboretum preferred,Curated exact cultivar/species source,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Kousa%20Dogwood%20Cornus%20kousa%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form or Multi-Stem,White,Late Spring to Early Summer
33,Dogwood,Venus Dogwood,Cornus 'KN30-8' Venus,15,20,15,20,Yes,Full Sun;Partial Shade,Yes,Confirm inventory,Hybrid dogwood selected for very large white bracts.,https://commons.wikimedia.org/wiki/Special:FilePath/Cornus%20kousa%20tree.jpg,"Moist, well-drained, organic-rich; often slightly acidic",Red to burgundy-purple,Slow to moderate,Mixed; Kousa is non-native,Moderate; avoid poorly drained heavy soil,The Morton Arboretum,https://mortonarb.org/plant-and-protect/trees-and-plants/kousa-dogwood/,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Venus%20Dogwood%20Cornus%20%27KN30-8%27%20Venus,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Venus%20Dogwood%20Cornus%20%27KN30-8%27%20Venus%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form or Multi-Stem,White,Late Spring
34,Dogwood,Cornelian Cherry Dogwood,Cornus mas,15,25,15,20,Yes,Full Sun;Partial Shade,Yes,Confirm inventory,Very early yellow-flowering dogwood.,https://commons.wikimedia.org/wiki/Special:FilePath/Cornus%20kousa%20tree.jpg,"Moist, well-drained, organic-rich; often slightly acidic",Red to burgundy-purple,Slow to moderate,Mixed; Kousa is non-native,Moderate; avoid poorly drained heavy soil,The Morton Arboretum,https://mortonarb.org/plant-and-protect/trees-and-plants/kousa-dogwood/,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Cornelian%20Cherry%20Dogwood%20Cornus%20mas,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Cornelian%20Cherry%20Dogwood%20Cornus%20mas%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form or Multi-Stem,Yellow,Late Winter to Early Spring
35,Weeping Japanese Maple,Crimson Queen Japanese Maple,Acer palmatum dissectum 'Crimson Queen',6,10,8,12,No,Partial Sun;Partial Shade,Yes,Confirm inventory,Weeping Japanese maple with finely cut red foliage.,https://commons.wikimedia.org/wiki/Special:FilePath/Japanese%20Maple%20Acer%20palmatum%20Autumn%20Tree%203008px.jpg,"Organic-rich, well-drained, slightly acidic","Crimson, orange to red",Slow to moderate,Non-native,Even moisture; avoid waterlogged soil,NC State Extension,https://plants.ces.ncsu.edu/plants/acer-palmatum-bloodgood/,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Crimson%20Queen%20Japanese%20Maple%20Acer%20palmatum%20dissectum%20%27Crimson%20Queen%27,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Crimson%20Queen%20Japanese%20Maple%20Acer%20palmatum%20dissectum%20%27Crimson%20Queen%27%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
36,Weeping Japanese Maple,Tamukeyama Japanese Maple,Acer palmatum dissectum 'Tamukeyama',6,10,8,12,No,Partial Sun;Partial Shade,Yes,Confirm inventory,Weeping laceleaf maple with red-purple foliage.,https://commons.wikimedia.org/wiki/Special:FilePath/Japanese%20Maple%20Acer%20palmatum%20Autumn%20Tree%203008px.jpg,"Organic-rich, well-drained, slightly acidic","Crimson, orange to red",Slow to moderate,Non-native,Even moisture; avoid waterlogged soil,NC State Extension,https://plants.ces.ncsu.edu/plants/acer-palmatum-bloodgood/,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Tamukeyama%20Japanese%20Maple%20Acer%20palmatum%20dissectum%20%27Tamukeyama%27,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Tamukeyama%20Japanese%20Maple%20Acer%20palmatum%20dissectum%20%27Tamukeyama%27%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
37,Upright Japanese Maple,Bloodgood Japanese Maple,Acer palmatum 'Bloodgood',15,20,15,20,No,Full Sun;Partial Shade,Yes,Confirm inventory,Upright Japanese maple with burgundy foliage.,https://commons.wikimedia.org/wiki/Special:FilePath/Acer%20palmatum%20tree.jpg,"Well-drained, acidic, organic-rich",Crimson to reddish-orange,Slow to moderate,Non-native,Even moisture; avoid waterlogged soil,NC State Extension,https://plants.ces.ncsu.edu/plants/acer-palmatum-bloodgood/,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/plants/acer-palmatum-bloodgood/,Exact cultivar reference page,No,University/arboretum preferred,Curated exact cultivar/species source,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Bloodgood%20Japanese%20Maple%20Acer%20palmatum%20%27Bloodgood%27%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
38,Upright Japanese Maple,Emperor I Japanese Maple,Acer palmatum 'Wolff',15,20,12,15,No,Full Sun;Partial Shade,Yes,Confirm inventory,Upright red-leaved Japanese maple.,https://commons.wikimedia.org/wiki/Special:FilePath/Acer%20palmatum%20tree.jpg,"Organic-rich, well-drained, slightly acidic",Crimson to reddish-orange,Slow to moderate,Non-native,Even moisture; avoid waterlogged soil,NC State Extension,https://plants.ces.ncsu.edu/plants/acer-palmatum-bloodgood/,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Emperor%20I%20Japanese%20Maple%20Acer%20palmatum%20%27Wolff%27,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Emperor%20I%20Japanese%20Maple%20Acer%20palmatum%20%27Wolff%27%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
39,Birch,Heritage River Birch,Betula nigra 'Cully',40,70,40,60,No,Full Sun;Partial Shade,Yes,Confirm inventory,Fast-growing birch with exfoliating bark.,https://commons.wikimedia.org/wiki/Special:FilePath/Betula%20nigra%20tree.jpg,"Moist, well-drained; river birch tolerates wetter sites",Yellow,Moderate to fast,Mixed; river and paper birch are native,Moderate to wet depending on species,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Heritage%20River%20Birch%20Betula%20nigra%20%27Cully%27,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Heritage%20River%20Birch%20Betula%20nigra%20%27Cully%27%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form or Multi-Stem,—,—
40,Birch,Whitespire Birch,Betula populifolia 'Whitespire',30,40,20,30,No,Full Sun;Partial Shade,Yes,Confirm inventory,White-barked upright birch.,https://commons.wikimedia.org/wiki/Special:FilePath/Betula%20nigra%20tree.jpg,"Moist, well-drained; river birch tolerates wetter sites",Yellow,Moderate to fast,Mixed; river and paper birch are native,Moderate to wet depending on species,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Whitespire%20Birch%20Betula%20populifolia%20%27Whitespire%27,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Whitespire%20Birch%20Betula%20populifolia%20%27Whitespire%27%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form or Multi-Stem,—,—
41,Birch,Paper Birch,Betula papyrifera,50,70,25,50,No,Full Sun;Partial Shade,Yes,Confirm inventory,Michigan native birch with white peeling bark.,https://commons.wikimedia.org/wiki/Special:FilePath/Betula%20nigra%20tree.jpg,"Moist, well-drained; river birch tolerates wetter sites",Yellow,Moderate to fast,Mixed; river and paper birch are native,Moderate to wet depending on species,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Paper%20Birch%20Betula%20papyrifera,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Paper%20Birch%20Betula%20papyrifera%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form or Multi-Stem,—,—
42,Beech,American Beech,Fagus grandifolia,50,70,40,60,No,Full Sun;Partial Shade;Shade,Yes,Confirm inventory,Large Michigan native shade tree with smooth gray bark.,https://commons.wikimedia.org/wiki/Special:FilePath/Fagus%20sylvatica%20tree.jpg,"Moist, well-drained, fertile; avoid compacted/wet sites",Golden bronze to copper,Slow,"Mixed; American beech native, European beech non-native",Moderate; prefers even moisture,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=American%20Beech%20Fagus%20grandifolia,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=American%20Beech%20Fagus%20grandifolia%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
43,Beech,European Beech,Fagus sylvatica,50,60,35,50,No,Full Sun;Partial Shade,Yes,Confirm inventory,Large stately shade tree with smooth gray bark.,https://commons.wikimedia.org/wiki/Special:FilePath/Fagus%20sylvatica%20tree.jpg,"Moist, well-drained, fertile; avoid compacted/wet sites",Golden bronze to copper,Slow,"Mixed; American beech native, European beech non-native",Moderate; prefers even moisture,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=European%20Beech%20Fagus%20sylvatica,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=European%20Beech%20Fagus%20sylvatica%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
44,Beech,Tricolor Beech,Fagus sylvatica 'Roseomarginata',25,40,20,30,No,Partial Sun;Partial Shade,Yes,Confirm inventory,Beech with purple leaves edged pink and cream.,https://commons.wikimedia.org/wiki/Special:FilePath/Fagus%20sylvatica%20tree.jpg,"Moist, well-drained, fertile; avoid compacted/wet sites",Golden bronze to copper,Slow,"Mixed; American beech native, European beech non-native",Moderate; prefers even moisture,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Tricolor%20Beech%20Fagus%20sylvatica%20%27Roseomarginata%27,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Tricolor%20Beech%20Fagus%20sylvatica%20%27Roseomarginata%27%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
45,Lilac on Standard,Dwarf Korean Lilac on Standard,Syringa meyeri 'Palibin' (standard form),5,8,5,7,Yes,Full Sun,Yes,Confirm inventory,"Compact lilac trained on a standard, useful near patios and entries.",,Well-drained loam; neutral to slightly alkaline,Usually insignificant,Moderate,Non-native,Moderate; avoid waterlogged soil,NC State Extension,https://plants.ces.ncsu.edu/plants/syringa-reticulata/,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Dwarf%20Korean%20Lilac%20on%20Standard%20Syringa%20meyeri%20%27Palibin%27%20%28standard%20form%29,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Dwarf%20Korean%20Lilac%20on%20Standard%20Syringa%20meyeri%20%27Palibin%27%20%28standard%20form%29%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,Lavender-purple,Late Spring
